Candidate,State,District,Office Type,Race,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?
Tom Guild,OK,U.S. House Oklahoma District 5,Representative,,Regular,6/26/2018,Advanced,On the Ballot,,-17.18,17.91,,No,No,No,No,No,No,,,,,,,,,,,,,
Jamie McLeod-Skinner,OR,U.S. House Oregon District 2,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-21.68,42.82,Yes,No,Yes,Yes,No,Yes,No,,,,,,,,,,Yes,,,
Scott Wallace,PA,U.S. House Pennsylvania District 1,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-0.63,56.48,Yes,No,No,No,Yes,No,No,,,Yes,,,,,,,,,,
George Scott,PA,U.S. House Pennsylvania District 10,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-10.86,36.330002,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,
Jessica King,PA,U.S. House Pennsylvania District 11,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-27.51,100,Yes,No,No,No,No,No,No,,,,,,Yes,Yes,Yes,,,Yes,,
Marc Friedenberg,PA,U.S. House Pennsylvania District 12,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-36.009998,50.389999,Yes,No,No,No,No,Yes,No,,,Yes,,,,,,,,,,
Brent Ottaway,PA,U.S. House Pennsylvania District 13,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-45.43,100,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Bibiana Boerio,PA,U.S. House Pennsylvania District 14,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-28.709999,43.200001,Yes,No,No,No,No,Yes,No,,,,,,,,,,,,,
Susan Boser,PA,U.S. House Pennsylvania District 15,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-41.73,74.559998,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Ronald DiNicola,PA,U.S. House Pennsylvania District 16,Representative,,Regular,5/15/2018,Advanced,None,On the Ballot,-18.73,59.970001,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,
Madeleine Dean,PA,U.S. House Pennsylvania District 4,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,15.27,72.559998,Yes,No,No,Yes,No,No,No,,Yes,Yes,,,,,,,,,,
Mary Gay Scanlon,PA,U.S. House Pennsylvania District 5,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,25.540001,28.370001,Yes,No,No,Yes,No,No,No,,,,,,,,,,,,,
Chrissy Houlahan,PA,U.S. House Pennsylvania District 6,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,5.2399998,100,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,,,,,,,,,Yes,
Susan Wild,PA,U.S. House Pennsylvania District 7,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,0.07,33.450001,Yes,No,No,No,No,No,No,,Yes,,,,,,,,,,,No
Denny Wolff,PA,U.S. House Pennsylvania District 9,Representative,White,Regular,5/15/2018,Advanced,None,On the Ballot,-32.029999,40.549999,Yes,No,No,No,No,No,No,,,,,,,,,,,,,
Joe Cunningham,SC,U.S. House South Carolina District 1,Representative,White,Regular,6/12/2018,Advanced,None,On the Ballot,-16.879999,71.5,Yes,No,No,No,No,Yes,No,,,,,,,,,,,,,
Sean Carrigan,SC,U.S. House South Carolina District 2,Representative,White,Regular,6/12/2018,Advanced,Advanced,On the Ballot,-20.73,39.82,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,
